source,target,number
"Coroller, TP","Agrawal, V",2
"Coroller, TP","Franco, I",2
"Coroller, TP","Hou, Y",2
"Coroller, TP","Narayan, V",2
"Coroller, TP","Romano, J",2
"Coroller, TP","Aerts, HJ",2
"Coroller, TP","Aerts, HJWL",2
"Coroller, TP","Agrawal, V",2
"Coroller, TP","Grossmann, P",2
"Coroller, TP","Hou, Y",2
"Coroller, TP","Lee, SW",2
"Coroller, TP","Parmar, C",2
"Coroller, TP","Rios Velazquez, E",2
"Coroller, TP","Aerts, HJ",3
"Coroller, TP","Huynh, E",3
"Coroller, TP","Parmar, C",3
"Coroller, TP","Mak, RH",3
"Coroller, TP","Narayan, V",3
"Coroller, TP","Mak, RH",4
"Coroller, TP","Huynh, E",4
"Court, L","Zhang, L",3
"Court, L","Mackin, D",5
"Cozzi, L","Antunovic, L",2
"Cozzi, L","Kirienko, M",2
"Cozzi, L","Sollini, M",2
"Cozzi, L","Kirienko, M",2
"Cozzi, L","Sollini, M",2
"Davicioni, E","Erho, N",2
"Davicioni, E","Gillies, RJ",2
"Davicioni, E","Pollack, A",2
"Deasy, JO","Oh, JH",2
"Dekker, A","Lambin, P",2
"Dercle, L","Deutsch, E",2
"Dercle, L","Escande, A",2
"Dercle, L","Haie-Meder, C",2
"Dercle, L","Limkin, E",2
"Dercle, L","Robert, C",2
"Desrosiers, C","Toews, M",3
"Deutsch, E","Ferté, C",2
"Deutsch, E","Robert, C",3
"Di Dong,","Jiangdian Song,",2
"Di Dong,","Jie Tian,",2
"Di Dong,","Yali Zang,",2
"Dilling, TJ","Gillies, RJ",2
"Dilling, TJ","Schabath, MB",2
"Dilling, TJ","Ye, Z",2
"Dilling, TJ","Latifi, K",4
"Dilling, TJ","Moros, EG",4
"Dong, D","Li, W",2
"Dong, D","Fang, M",3
"Dong, D","Zhang, L",3
"Dong, D","Liu, Z",4
"Dong, D","Liang, C",5
"Dong, D","Tian, J",6
"Dong, Y","Tian, J",2
"Dong, Y","Huang, W",3
"Dong, Y","Mo, X",3
"Dong, Y","Ouyang, F",3
"Dong, Y","Zhang, L",3
"Dong, Y","Zhang, S",3
"Dong, Y","Zhang, B",4
"Drukker, K","Fan, C",2
"Drukker, K","Ganott, M",2
"Drukker, K","Huang, E",2
"Drukker, K","Lan, L",2
"Drukker, K","Zuley, M",2
"Drukker, K","Hoadley, KA",3
"Drukker, K","Ji, Y",3
"Drukker, K","Morris, EA",3
"Drukker, K","Net, JM",3
"Drukker, K","Sutton, EJ",3
"Drukker, K","Whitman, GJ",3
"Drukker, K","Giger, ML",4
"Drukker, K","Li, H",5
"Dubchuk, C","Gilmore, H",2
"Dubchuk, C","Madabhushi, A",2
"Dubchuk, C","Plecha, D",2
"Dubchuk, C","Tiwari, P",2
"Echegaray, S","Gevaert, O",2
"Echegaray, S","Napel, S",3
"Erho, N","Gillies, RJ",2
"Erho, N","Pollack, A",2
"Erho, N","Punnen, S",2
"Escande, A","Deutsch, E",2
"Escande, A","Haie-Meder, C",2
"Escande, A","Robert, C",2
"Etesami, M","Dubchuk, C",2
"Etesami, M","Gilmore, H",2
"Etesami, M","Madabhushi, A",2
"Etesami, M","Plecha, D",2
"Etesami, M","Prasanna, P",2
"Etesami, M","Tiwari, P",2
"Fan, C","Conzen, SD",2
"Fan, C","Huang, E",2
"Fan, C","Morris, EA",2
"Fan, C","Net, JM",2
"Fan, C","Sutton, EJ",2
"Fan, C","Whitman, GJ",2
"Fan, M","Li, L",2
"Fan, M","Zhang, J",2
"Fan, X","Jiang, T",3
"Fan, X","Li, S",3
"Fan, X","Liu, X",3
"Fan, X","Wang, Y",3
"Fang, M","Li, W",2
"Fang, M","Liang, C",2
"Fang, M","Liu, Z",2
"Fang, M","Zhang, L",2
"Fang, M","Tian, J",3
"Fave, X","Court, L",2
"Fave, X","Jones, AK",2
"Fave, X","Balter, P",2
"Fave, X","Court, L",2
"Fave, X","Followill, D",2
"Fave, X","Gomez, D",2
"Fave, X","Jones, AK",2
"Fave, X","Stingo, F",2
"Fave, X","Mackin, D",3
"Fave, X","Yang, J",3
"Fave, X","Zhang, L",3
"Fave, X","Yang, J",3
"Fave, X","Mackin, D",4
"Flechsig, P","Giesel, FL",2
"Fogliata, A","Kirienko, M",2
"Fogliata, A","Sollini, M",2
"Followill, D","Court, L",2
"Followill, D","Gomez, D",2
"Followill, D","Jones, AK",2
"Followill, D","Mackin, D",2
"Followill, D","Stingo, F",2
"Franco, I","Aerts, HJ",2
"Franco, I","Mak, RH",2
"Fried, D","Court, L",2
"Fried, D","Jones, AK",2
"Fried, D","Yang, J",2
"Ganott, M","Giger, ML",2
"Ganott, M","Morris, EA",2
"Garcia, A","Gillies, RJ",2
"Garcia, A","Li, Q",2
"Garcia, A","Schabath, MB",2
