source,target,number
"Alshawa, A","Subbiah, V",1
"Altazi, BA","Biagioli, MC",1
"Altazi, BA","Fernandez, DC",1
"Altazi, BA","Hunt, D",1
"Altazi, BA","Montejo, ME",1
"Altazi, BA","Moros, EG",1
"Altazi, BA","Werner, J",1
"Altazi, BA","Zhang, GG",1
"Alva, A","Caoili, EM",2
"Alva, A","Cohan, RH",2
"Alva, A","Paramagul, C",2
"Alva, A","Samala, RK",1
"Alva, A","Wei, J",1
"Alva, A","Zhou, C",1
"Amaria, RN","Allison, JP",1
"Amaria, RN","Carter, BW",1
"Amaria, RN","Clise-Dwyer, K",1
"Amaria, RN","Cooper, ZA",1
"Amaria, RN","Diab, A",1
"Amaria, RN","Futreal, PA",1
"Amaria, RN","Glitza, IC",1
"Amaria, RN","Grimm, EA",1
"Amaria, RN","Hu, J",1
"Amaria, RN","Lazar, AJ",1
"Amaria, RN","Lee, JE",1
"Amaria, RN","Patel, SP",1
"Amaria, RN","Sharma, P",1
"Amaria, RN","Tetzlaff, MT",1
"Amaria, RN","Wargo, JA",1
"Amaria, RN","Wistuba, II",1
"Amaria, RN","Zhang, J",1
"Ammari, S","Bateson, M",1
"Ammari, S","Deutsch, E",1
"Ammari, S","Durand, PB",1
"Ammari, S","Ferté, C",1
"Ammari, S","Haspinger, E",1
"Ammari, S","Jaudet, C",1
"Ammari, S","Massard, C",1
"Ammari, S","Soria, JC",1
"Ammari, S","Varga, A",1
"Anthony, GJ","Al-Hallaq, HA",1
"Anthony, GJ","Armato, SG",1
"Anthony, GJ","Castillo, R",1
"Anthony, GJ","Cunliffe, A",1
"Anthony, GJ","Guerrero, T",1
"Anthony, GJ","Pham, N",1
"Antoch, G","Giesel, FL",1
"Antoch, G","Haberkorn, U",1
"Antoch, G","Kauczor, HU",1
"Antoch, G","Moltz, J",1
"Antoch, G","Rath, D",1
"Antoch, G","Rieser, M",1
"Antoch, G","Schwartz, LH",1
"Antoch, G","Warth, A",1
"Antropova, N","Giger, ML",1
"Antropova, N","Huynh, BQ",1
"Antunes, J","Avril, N",1
"Antunes, J","Hoimes, C",1
"Antunes, J","Madabhushi, A",1
"Antunes, J","Rusu, M",1
"Antunes, J","Valls, L",1
"Antunes, J","Viswanath, S",1
"Antunovic, L","Kirienko, M",2
"Antunovic, L","Sollini, M",2
"Antunovic, L","Kirienko, M",2
"Antunovic, L","Sollini, M",2
"Antunovic, L","Chiti, A",1
"Antunovic, L","Di Tommaso, L",1
"Antunovic, L","Erba, PA",1
"Antunovic, L","Fogliata, A",1
"Antunovic, L","Lania, A",1
"Antunovic, L","Lozza, L",1
"Antunovic, L","Magnoni, P",1
"Antunovic, L","Rossi, A",1
"Antunovic, L","Voulaz, E",1
"Antunovic, L","Castiglioni, I",1
"Antunovic, L","Chiti, A",1
"Antunovic, L","Gallivanone, F",1
"Antunovic, L","Invento, A",1
"Antunovic, L","Manfrinato, G",1
"Antunovic, L","Sagona, A",1
"Antunovic, L","Tinterri, C",1
"Aoki, S","Abe, O",1
"Aoki, S","Nakagawa, K",1
"Aoki, S","Nawa, K",1
"Aoki, S","Yamashita, H",1
"Apte, A","Deasy, JO",2
"Apte, A","Lee, NY",2
"Apte, A","Grkovski, M",1
